site,sitename,date
ST,Seattle,2004-06-24
DV,Denver,2004-03-05
AT,Austin,2004-03-24
AT,Austin,2004-01-27
TP,Tampa,2004-06-17
AT,Austin,2004-03-31
ST,Seattle,2004-04-09
DV,Denver,2004-04-08
ST,Seattle,2004-03-26
DV,Denver,2004-06-23
AT,Austin,2004-03-16
AT,Austin,2004-03-27
TP,Tampa,2004-03-01
ST,Seattle,2004-03-25
DV,Denver,2004-04-01
AT,Austin,2004-06-22
DV,Denver,2004-05-08
AT,Austin,2004-02-26
TP,Tampa,2004-05-19
ST,Seattle,2004-02-24
DV,Denver,2004-04-10
DV,Denver,2004-06-16
ST,Seattle,2004-06-29
DV,Denver,2004-04-12
AT,Austin,2004-04-23
DV,Denver,2004-04-06
ST,Seattle,2004-06-03
AT,Austin,2004-06-27
DV,Denver,2004-04-23
AT,Austin,2004-06-05
AT,Austin,2004-01-21
DV,Denver,2004-05-28
AT,Austin,2004-03-28
ST,Seattle,2004-03-31
ST,Seattle,2004-04-01
DV,Denver,2004-05-22
AT,Austin,2004-02-18
AT,Austin,2004-05-04
DV,Denver,2004-03-28
DV,Denver,2004-04-07
DV,Denver,2004-06-02
ST,Seattle,2004-04-29
AT,Austin,2004-03-26
ST,Seattle,2004-04-23
ST,Seattle,2004-03-24
TP,Tampa,2004-06-09
DV,Denver,2004-06-27
ST,Seattle,2004-06-18
ST,Seattle,2004-03-30
AT,Austin,2004-03-21
AT,Austin,2004-04-22
AT,Austin,2004-03-17
DV,Denver,2004-03-04
DV,Denver,2004-04-05
AT,Austin,2004-03-20
AT,Austin,2004-01-15
ST,Seattle,2004-02-18
DV,Denver,2004-06-06
TP,Tampa,2004-05-26
AT,Austin,2004-01-17
AT,Austin,2004-01-07
AT,Austin,2004-05-10
AT,Austin,2004-04-07
AT,Austin,2004-02-02
ST,Seattle,2004-03-16
DV,Denver,2004-05-12
DV,Denver,2004-03-06
ST,Seattle,2004-06-09
TP,Tampa,2004-06-28
DV,Denver,2004-03-30
ST,Seattle,2004-02-16
DV,Denver,2004-04-28
ST,Seattle,2004-05-07
TP,Tampa,2004-05-10
TP,Tampa,2004-03-10
ST,Seattle,2004-04-12
TP,Tampa,2004-06-20
AT,Austin,2004-06-01
DV,Denver,2004-05-04
DV,Denver,2004-06-10
DV,Denver,2004-03-19
AT,Austin,2004-06-08
DV,Denver,2004-06-08
ST,Seattle,2004-06-28
AT,Austin,2004-06-29
AT,Austin,2004-06-16
DV,Denver,2004-06-21
ST,Seattle,2004-06-11
ST,Seattle,2004-05-06
AT,Austin,2004-02-08
ST,Seattle,2004-05-02
DV,Denver,2004-04-16
AT,Austin,2004-03-22
TP,Tampa,2004-02-17
TP,Tampa,2004-06-19
ST,Seattle,2004-06-21
DV,Denver,2004-06-17
AT,Austin,2004-06-02
DV,Denver,2004-05-05
AT,Austin,2004-05-02
ST,Seattle,2004-06-04
DV,Denver,2004-03-13
AT,Austin,2004-01-05
